"Financial instrument","Current price","Change(%)","Open","High","Low","Volume","Cap.","Issued Cap."
"JPY/SGD","0.00867","-0.12%","0.00868","0.00870","0.00865","54,935","-","-"
"JPY/ZAR","0.11546","-0.31%","0.11582","0.11602","0.11476","109,775","-","-"
"NOK/CZK","2.1152","+0.00%","2.1154","2.1241","2.1104","111,897","-","-"
"NOK/HKD","0.7038","-0.44%","0.7069","0.7087","0.7035","18,805","-","-"
"NOK/HUF","34.081","-0.16%","34.132","34.217","34.013","106,877","-","-"
"NOK/MXN","1.8335","+0.55%","1.8235","1.8363","1.8093","255,422","-","-"
"NOK/PLN","0.3641","+0.11%","0.3637","0.3651","0.3631","48,763","-","-"
"NOK/SEK","0.9726","+0.41%","0.9685","0.9728","0.9673","152,189","-","-"
"NOK/SGD","0.1200","+0.00%","0.1200","0.1205","0.1199","55,423","-","-"
"NOK/ZAR","1.5979","-0.17%","1.6007","1.6071","1.5908","123,025","-","-"
"NZD/CAD","0.8320","+0.00%","0.8320","0.8342","0.8307","100,175","-","-"
"NZD/CHF","0.5190","+0.66%","0.5156","0.5206","0.5152","95,402","-","-"
"NZD/CZK","13.943","+0.38%","13.890","13.974","13.877","48,638","-","-"
"NZD/DKK","4.1048","+0.30%","4.0919","4.1113","4.0884","10,480","-","-"
"NZD/HKD","4.6393","-0.06%","4.6419","4.6649","4.6363","22,114","-","-"
"NZD/HUF","224.68","+0.25%","224.13","224.94","223.70","97,400","-","-"
"NZD/JPY","91.23","+0.53%","90.75","91.51","90.67","105,696","-","-"
"NZD/MXN","12.0866","+0.94%","11.9738","12.1041","11.9114","476,423","-","-"
"NZD/NOK","6.5923","+0.40%","6.5667","6.6093","6.5594","72,636","-","-"
"NZD/PLN","2.4008","+0.53%","2.3882","2.4048","2.3860","22,605","-","-"
"NZD/SEK","6.4116","+0.82%","6.3602","6.4179","6.3515","70,559","-","-"
"NZD/SGD","0.7909","+0.37%","0.7880","0.7926","0.7875","64,539","-","-"
"NZD/USD","0.5965","-0.10%","0.5971","0.5999","0.5962","88,054","-","-"
"NZD/ZAR","10.5333","+0.22%","10.5108","10.5482","10.4925","273,653","-","-"
"USD/CAD","1.3950","+0.11%","1.3936","1.3955","1.3903","129,878","-","-"
"USD/CHF","0.8703","+0.78%","0.8636","0.8709","0.8632","85,747","-","-"
"USD/CNH","7.13792","+0.24%","7.12119","7.13839","7.11452","381,808","-","-"
"USD/CZK","23.3751","+0.48%","23.2635","23.3829","23.2235","258,058","-","-"
"USD/DKK","6.8812","+0.41%","6.8533","6.8848","6.8369","122,991","-","-"
"USD/HKD","7.7775","+0.05%","7.7740","7.7787","7.7735","36,688","-","-"
"USD/HUF","376.65","+0.34%","375.38","376.80","374.02","130,163","-","-"
"USD/ILS","3.74790","+0.17%","3.74217","3.76529","3.73060","110,793","-","-"
"USD/JPY","152.94","+0.63%","151.98","153.07","151.79","153,879","-","-"
"USD/MXN","20.2624","+1.04%","20.0533","20.2884","19.9195","582,162","-","-"
"USD/NOK","11.0513","+0.49%","10.9972","11.0550","10.9721","819,624","-","-"
"USD/PLN","4.0242","+0.61%","3.9997","4.0264","3.9931","79,732","-","-"
"USD/SEK","10.7485","+0.91%","10.6510","10.7499","10.6380","686,578","-","-"
"USD/SGD","1.3259","+0.47%","1.3197","1.3259","1.3196","88,603","-","-"
"USD/TRY","34.3547","+0.15%","34.3041","34.4242","34.3035","35,573","-","-"
"USD/ZAR","17.6585","+0.32%","17.6030","17.6724","17.5245","399,797","-","-"
